Reference,Qty,Value,Footprint,LCSC
C1,1,47uF-16V,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,
C2,1,1uF-0805,Capacitor_SMD:C_0805_2012Metric,C28323
"C3,C4",2,10uF-0805,Capacitor_SMD:C_0805_2012Metric,C1713
C5,1,100nF-0805,Capacitor_SMD:C_0805_2012Metric,C1591
D1,1,LED,LED_SMD:LED_0805_2012Metric,"C19273154,C25170727"
D2,1,LED,LED_SMD:LED_0805_2012Metric,"C19273154,C25170727"
D3,1,SS34,Diode_SMD:D_SMA,C908680
"H1,H2",2,MountingHole,MountingHole:MountingHole_3.2mm_M3_DIN965_Pad,
J1,1,USB4135,Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,C5438410
J2,1,Conn_01x02,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J3,1,Conn_01x02,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
L1,1,4.7uH,lcsc_footprints:C76857_IND-SMD_L7_1-W6_5,C76857
"R1,R2",2,5.1K-1%,Resistor_SMD:R_0805_2012Metric,C27834
"R3,R5",2,1k-0805,Resistor_SMD:R_0805_2012Metric,C2907232
R4,1,0.05R 3W,Resistor_SMD:R_2512_6332Metric,C2903475
U1,1,TP5000X-4.2-ESOP8,lcsc_footprints:C5447152_ESOP-8_L4_9-W3_9-P1_27-LS6_0-BL-EP,C5447152
U2,1,XB7608A,lcsc_footprints:C669688_CPC-5_L2_6-W2_6-LS4_2_XB7608A,C2681921
