Designator,Mid X,Mid Y,Layer,Rotation
J2,149.765,-52.815,top,0
C1,127.692323,-57.785,top,0
C2,133.235,-67.945,top,90
C3,162.2325,-62.23,top,0
C4,146.57,-61.595,top,0
C5,138.95,-56.515,top,0
D1,128.155,-72.7225,top,-90
D2,132.08,-72.7225,top,-90
D3,139.585,-72.39,top,180
J1,114.82,-64.77,top,-90
J3,159.905,-52.155,top,0
L1,151.39,-70.485,top,0
R1,122.44,-62.865,top,0
R2,122.44,-67.31,top,0
R3,123.71,-72.7475,top,90
R4,154.6125,-62.23,top,0
R5,143.6725,-56.515,top,0
U1,139.585,-65.405,top,90
U2,140.855,-52.07,top,90
